"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"1100015";"Total";"10583";"1094";"12122"
"1100023";"Total";"32025";"7810";"48505"
"1100031";"Total";"2918";"465";"2827"
"1100049";"Total";"32837";"4534";"38714"
"1100056";"Total";"8146";"864";"7845"
"1100064";"Total";"7650";"1281";"9274"
"1100072";"Total";"3323";"766";"4515"
"1100080";"Total";"4295";"935";"8091"
"1100098";"Total";"13272";"1588";"13187"
"1100106";"Total";"8522";"3220";"24696"
"1100114";"Total";"17235";"4289";"29657"
"1100122";"Total";"46007";"6942";"60337"
"1100130";"Total";"9623";"2508";"18578"
"1100148";"Total";"7846";"1275";"10494"
"1100155";"Total";"13432";"2946";"21182"
"1100189";"Total";"13801";"2040";"17213"
"1100205";"Total";"124375";"29964";"262843"
"1100254";"Total";"8867";"1077";"12074"
"1100262";"Total";"1394";"216";"1679"
"1100288";"Total";"20145";"3467";"26340"
"1100296";"Total";"3105";"495";"5121"
"1100304";"Total";"33771";"3908";"37338"
"1100320";"Total";"8158";"1304";"12013"
"1100338";"Total";"6736";"1006";"13927"
"1100346";"Total";"6023";"1190";"9394"
"1100379";"Total";"4532";"920";"7097"
"1100403";"Total";"6083";"1197";"9388"
"1100452";"Total";"11723";"2033";"18025"
"1100502";"Total";"4401";"642";"5094"
"1100601";"Total";"1813";"602";"3239"
"1100700";"Total";"4417";"1388";"6810"
"1100809";"Total";"4805";"1386";"13291"
"1100908";"Total";"1477";"194";"1895"
"1100924";"Total";"2823";"443";"4738"
"1100940";"Total";"4681";"1497";"9500"
"1101005";"Total";"3468";"613";"6219"
"1101104";"Total";"2272";"653";"5523"
"1101203";"Total";"4541";"673";"5092"
"1101302";"Total";"4323";"655";"6530"
"1101401";"Total";"5107";"984";"7899"
"1101435";"Total";"2537";"457";"4421"
"1101450";"Total";"2103";"419";"2229"
"1101468";"Total";"793";"416";"1042"
"1101476";"Total";"1489";"254";"1712"
"1101484";"Total";"2403";"466";"3085"
"1101492";"Total";"5992";"787";"8782"
"1101500";"Total";"4762";"1051";"5678"
"1101559";"Total";"1788";"375";"2596"
"1101609";"Total";"3897";"621";"5913"
"1101708";"Total";"4726";"958";"7146"
"1101757";"Total";"2708";"908";"5678"
"1101807";"Total";"2777";"548";"4812"
"1200013";"Total";"3384";"554";"8468"
"1200054";"Total";"1638";"277";"3486"
"1200104";"Total";"4994";"1596";"14257"
"1200138";"Total";"1774";"543";"5861"
"1200179";"Total";"1297";"500";"6871"
"1200203";"Total";"19015";"4294";"53444"
"1200252";"Total";"3213";"804";"10681"
"1200302";"Total";"8987";"1846";"18186"
"1200328";"Total";"987";"530";"2999"
"1200336";"Total";"2349";"504";"10876"
"1200344";"Total";"1315";"246";"5888"
"1200351";"Total";"2380";"1240";"8945"
"1200385";"Total";"4085";"1318";"11186"
"1200393";"Total";"2298";"486";"5671"
"1200401";"Total";"85735";"17884";"224321"
"1200427";"Total";"2954";"486";"10876"
"1200435";"Total";"875";"42";"1181"
"1200450";"Total";"3487";"1280";"14872"
"1200500";"Total";"6804";"2731";"26881"
"1200609";"Total";"7838";"2282";"23139"
"1200708";"Total";"2735";"1472";"11436"
"1200807";"Total";"3114";"634";"10980"
"1300029";"Total";"1757";"843";"10396"
"1300060";"Total";"304";"44";"5776"
"1300086";"Total";"810";"165";"9114"
"1300102";"Total";"2634";"130";"13116"
"1300144";"Total";"6735";"1533";"9308"
"1300201";"Total";"1433";"76";"7450"
"1300300";"Total";"6326";"2009";"16217"
"1300409";"Total";"3093";"1239";"15880"
"1300508";"Total";"2372";"452";"21705"
"1300607";"Total";"3205";"996";"19255"
"1300631";"Total";"1552";"262";"13182"
"1300680";"Total";"1350";"259";"13318"
"1300706";"Total";"7187";"2481";"19809"
"1300805";"Total";"4407";"695";"25695"
"1300839";"Total";"1457";"203";"9225"
"1300904";"Total";"2844";"208";"9562"
"1301001";"Total";"5800";"1537";"17795"
"1301100";"Total";"6260";"3008";"22613"
"1301159";"Total";"4147";"1729";"17135"
"1301209";"Total";"11848";"5305";"57442"
"1301308";"Total";"3107";"824";"19046"
"1301407";"Total";"7319";"2603";"19565"
"1301506";"Total";"4342";"432";"10664"
"1301605";"Total";"2493";"840";"18457"
"1301654";"Total";"2205";"635";"11105"
"1301704";"Total";"8823";"1808";"31483"
"1301803";"Total";"6957";"1491";"12115"
"1301852";"Total";"7705";"1168";"31540"
"1301902";"Total";"16440";"2018";"67813"
"1301951";"Total";"1181";"102";"5697"
"1302009";"Total";"1611";"163";"6375"
"1302108";"Total";"931";"320";"4741"
"1302207";"Total";"2043";"303";"7841"
"1302306";"Total";"2347";"234";"12409"
"1302405";"Total";"7290";"1851";"24591"
"1302504";"Total";"13961";"2668";"67746"
"1302553";"Total";"3488";"1160";"17022"
"1302603";"Total";"475997";"75309";"1225067"
"1302702";"Total";"11349";"1935";"30722"
"1302801";"Total";"2428";"977";"13050"
"1302900";"Total";"6739";"1660";"36900"
"1303007";"Total";"1219";"126";"16142"
"1303106";"Total";"3587";"1199";"24695"
"1303205";"Total";"2104";"865";"10626"
"1303304";"Total";"2349";"825";"17851"
"1303403";"Total";"13039";"2001";"85910"
"1303502";"Total";"3639";"1181";"10818"
"1303536";"Total";"5886";"1140";"19408"
"1303569";"Total";"6127";"2853";"15935"
"1303601";"Total";"673";"524";"4687"
